City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Aksarka,RU,66.5606,67.7975,13.42,92,100,18.84,overcast clouds
304,El Tigre,VE,8.8875,-64.2454,90.88,34,38,9.44,scattered clouds
305,Malindi,KE,-3.2175,40.1191,80.76,74,20,14.97,few clouds
306,Afua,BR,-0.1567,-50.3867,84.18,68,100,6.82,light rain
307,Murakami,JP,38.2333,139.4833,33.66,99,100,1.28,light snow
308,Lasa,IT,46.6166,10.7002,47.28,82,23,3.29,few clouds
309,Ahtopol,BG,42.1,27.95,45.21,74,1,6.62,clear sky
310,Ruteng,ID,-8.6136,120.4721,63.03,97,100,1.1,moderate rain
311,Cobija,BO,-11.0267,-68.7692,82.58,78,75,4.61,broken clouds
312,Asyut,EG,27.181,31.1837,59.18,46,5,11.03,clear sky
313,Gravdal,NO,68.1214,13.5031,35.49,64,100,23.02,overcast clouds
314,Anadyr,RU,64.75,177.4833,-19.7,76,0,11.18,clear sky
315,Buenos Aires,AR,-34.6132,-58.3772,88.02,53,0,7.43,clear sky
316,Tsuruga,JP,35.6455,136.0558,38.95,83,42,8.99,scattered clouds
317,Montevideo,UY,-34.8335,-56.1674,80.62,51,20,11.5,few clouds
318,Katobu,ID,-4.9408,122.5276,75.09,93,100,3.29,overcast clouds
319,Veraval,IN,20.9,70.3667,72.73,50,2,7.4,clear sky
320,Kikerino,RU,59.4667,29.6333,35.49,95,100,11.61,light snow
321,Samarai,PG,-10.6167,150.6667,81.64,64,98,14.58,overcast clouds
322,Ahar,IR,38.4774,47.0699,35.4,96,84,3.98,broken clouds
323,Kissidougou,GN,9.1848,-10.0999,95.54,9,3,8.7,clear sky
324,Mount Isa,AU,-20.7333,139.5,78.57,61,65,5.75,broken clouds
325,Otjimbingwe,NA,-22.35,16.1333,77.14,68,88,12.15,light rain
326,Muzhi,RU,65.3667,64.6667,15.3,91,100,16.31,overcast clouds
327,Eyrarbakki,IS,63.863,-21.1481,34.84,66,100,20.0,light snow
